Start time,End time,Move Minutes count,Average systolic blood pressure (mmHg),Max systolic blood pressure (mmHg),Min systolic blood pressure (mmHg),Average diastolic blood pressure (mmHg),Max diastolic blood pressure (mmHg),Min diastolic blood pressure (mmHg),Body position,Blood pressure measurement location,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average oxygen saturation (%),Max oxygen saturation (%),Min oxygen saturation (%),Average supplemental oxygen flow rate (L/min),Max supplemental oxygen flow rate (L/min),Min supplemental oxygen flow rate (L/min),Oxygen therapy administration mode,Oxygen saturation system,Oxygen saturation measurement method,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
09:45:00.000-04:00,10:00:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00:00.000-04:00,10:15:00.000-04:00,,123.0,123.0,123.0,69.0,69.0,69.0,,,,22.440164256870577,,,,,,,,,,,,,,,,,,,0.3205737704086148,0.3205737704086148,0.3205737704086148,77,64.1500015258789,64.1500015258789,64.1500015258789
10:15:00.000-04:00,10:30:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
10:30:00.000-04:00,10:45:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,
10:45:00.000-04:00,11:00:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00:00.000-04:00,11:15:00.000-04:00,,,,,,,,,,,18.593278955692764,,,,,,,,,,,,,,,,,,,0.3098879825948794,0.3098879825948794,0.3098879825948794,29,,,
11:15:00.000-04:00,11:30:00.000-04:00,,,,,,,,,,,42.95688586315225,,,,,,,,,,,,,,,,,,,0.29385929774791897,0.32057378291404526,0.2671448125817926,82,,,
11:30:00.000-04:00,11:45:00.000-04:00,,,,,,,,,,,29.4927873090299,,,,,,,,,,,,,,,,,,,0.32057376796190024,0.32057376796190024,0.32057376796190024,46,,,
11:45:00.000-04:00,12:00:00.000-04:00,2,,,,,,,,,,46.80377116433006,,,,,,,,,,,,,,,,,,,0.32057376835292767,0.32057376835292767,0.32057376835292767,73,,,
12:00:00.000-04:00,12:15:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:15:00.000-04:00,12:30:00.000-04:00,,,,,,,,,,,25.004754457655785,,,,,,,,,,,,,,,,,,,0.32057378772382644,0.32057378772382644,0.32057378772382644,39,,,
12:30:00.000-04:00,12:45:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:45:00.000-04:00,13:00:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00:00.000-04:00,13:15:00.000-04:00,,,,,,,,,,,23.722459357263183,,,,,,,,,,,,,,,,,,,0.32057374404581873,0.32057374404581873,0.32057374404581873,37,,,
13:15:00.000-04:00,13:30:00.000-04:00,1,,,,,,,,,,40.39229566236704,,,,,,,,,,,,,,,,,,,0.32057378291404526,0.32057378291404526,0.32057378291404526,83,,,
13:30:00.000-04:00,13:45:00.000-04:00,1,,,,,,,,,,40.39229566236704,,,,,,,,,,,,,,,,,,,0.32057378291404526,0.32057378291404526,0.32057378291404526,63,,,
13:45:00.000-04:00,14:00:00.000-04:00,,,,,,,,,,,27.569344658440993,,,,,,,,,,,,,,,,,,,0.32057377128108666,0.32057377128108666,0.32057377128108666,43,,,
14:00:00.000-04:00,14:15:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,
14:15:00.000-04:00,14:30:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:30:00.000-04:00,14:45:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:45:00.000-04:00,15:00:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00:00.000-04:00,15:15:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:15:00.000-04:00,15:30:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:30:00.000-04:00,15:45:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:45:00.000-04:00,16:00:00.000-04:00,,,,,,,,,,,13.130062296340817,,,,,,,,,,,,,,,,,,,,,,20,,,
16:00:00.000-04:00,16:15:00.000-04:00,1,,,,,,,,,,67.65452902839326,,,,,,,,,,,,,,,,,,,0.5213385708050696,0.7221033602511225,0.32057375844689967,128,,,
16:15:00.000-04:00,16:30:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:30:00.000-04:00,16:45:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:45:00.000-04:00,17:00:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00:00.000-04:00,17:15:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:15:00.000-04:00,17:30:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:30:00.000-04:00,17:45:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:45:00.000-04:00,18:00:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00:00.000-04:00,18:15:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:15:00.000-04:00,18:30:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:30:00.000-04:00,18:45:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:45:00.000-04:00,19:00:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00:00.000-04:00,19:15:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:15:00.000-04:00,19:30:00.000-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:30:00.000-04:00,19:45:00.000-04:00,,,,,,,,,,,12.426080902746062,,,,,,,,,,,,,,,,,,,0.32057376415589994,0.32057376415589994,0.32057376415589994,38,,,
