Start time,End time,Move Minutes count,Average systolic blood pressure (mmHg),Max systolic blood pressure (mmHg),Min systolic blood pressure (mmHg),Average diastolic blood pressure (mmHg),Max diastolic blood pressure (mmHg),Min diastolic blood pressure (mmHg),Body position,Blood pressure measurement location,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average oxygen saturation (%),Max oxygen saturation (%),Min oxygen saturation (%),Average supplemental oxygen flow rate (L/min),Max supplemental oxygen flow rate (L/min),Min supplemental oxygen flow rate (L/min),Oxygen therapy administration mode,Oxygen saturation system,Oxygen saturation measurement method,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,,,,,,,,,,15.510416870315868,,,,70.67857142857143,77.0,67.0,,,,,93.76153799203726,97.5999984741211,91.9000015258789,0.0,0.0,0.0,,,,,,,,,,,
00:15:00.000-04:00,00:30:00.000-04:00,,,,,,,,,,15.510416870315868,,,,64.39285714285714,67.0,63.0,,,,,96.72142873491559,97.5999984741211,95.5,0.0,0.0,0.0,,,,,,,,,,,
00:30:00.000-04:00,00:45:00.000-04:00,,,,,,,,,,15.510416870315868,,,,65.71428571428571,69.0,64.0,,,,,97.67857115609304,99.19999694824219,96.9000015258789,0.0,0.0,0.0,,,,,,,,,,,
00:45:00.000-04:00,01:00:00.000-04:00,,,,,,,,,,15.510416870315868,,,,67.46428571428571,73.0,64.0,,,,,96.52500016348704,98.5,95.19999694824219,0.0,0.0,0.0,,,,,,,,,,,
01:00:00.000-04:00,01:15:00.000-04:00,,,,,,,,,,15.510416870315868,,,,68.0,71.0,66.0,,,,,97.17857088361468,98.0999984741211,96.0999984741211,0.0,0.0,0.0,,,,,,,,,,,
01:15:00.000-04:00,01:30:00.000-04:00,,,,,,,,,,15.510416870315868,,,,66.46428571428571,69.0,65.0,,,,,97.10769242506761,97.5999984741211,96.0999984741211,0.0,0.0,0.0,,,,,,,,,,,
01:30:00.000-04:00,01:45:00.000-04:00,,,,,,,,,,15.510416870315868,,,,67.85714285714286,77.0,63.0,,,,,96.25,96.69999694824219,96.0,0.0,0.0,0.0,,,,,,,,,,,
01:45:00.000-04:00,02:00:00.000-04:00,,,,,,,,,,15.510416870315868,9.099999904632568,,,79.89285714285714,93.0,67.0,,,,,96.0999984741211,96.0999984741211,96.0999984741211,0.0,0.0,0.0,,,,0.07711864325959804,0.08305084907402427,0.07118643744517181,13,,,,
02:00:00.000-04:00,02:15:00.000-04:00,,,,,,,,,,15.510416870315868,8.5,,,72.21428571428571,75.0,70.0,,,,,,,,,,,,,,0.1440677966101695,0.1440677966101695,0.1440677966101695,12,,,,
02:15:00.000-04:00,02:30:00.000-04:00,,,,,,,,,,15.510416870315868,,,,71.10714285714286,73.0,70.0,,,,,,,,,,,,,,,,,,,,,
