Start time,End time,Move Minutes count,Average systolic blood pressure (mmHg),Max systolic blood pressure (mmHg),Min systolic blood pressure (mmHg),Average diastolic blood pressure (mmHg),Max diastolic blood pressure (mmHg),Min diastolic blood pressure (mmHg),Body position,Blood pressure measurement location,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average oxygen saturation (%),Max oxygen saturation (%),Min oxygen saturation (%),Average supplemental oxygen flow rate (L/min),Max supplemental oxygen flow rate (L/min),Min supplemental oxygen flow rate (L/min),Oxygen therapy administration mode,Oxygen saturation system,Oxygen saturation measurement method,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
00:00:00.000-04:00,00:15:00.000-04:00,,,,,,,,,,,,,,64.42857142857143,70.0,62.0,,,,,96.62692290086014,97.30000305175781,93.5999984741211,0.0,0.0,0.0,,,,,,,,,,
00:15:00.000-04:00,00:30:00.000-04:00,,,,,,,,,,,,,,66.0,67.0,65.0,,,,,96.01785659790039,96.19999694824219,95.69999694824219,0.0,0.0,0.0,,,,,,,,,,
00:30:00.000-04:00,00:45:00.000-04:00,,,,,,,,,,,,,,65.96428571428571,67.0,65.0,,,,,95.48928587777274,95.69999694824219,95.4000015258789,0.0,0.0,0.0,,,,,,,,,,
00:45:00.000-04:00,01:00:00.000-04:00,,,,,,,,,,,,,,68.71428571428571,70.0,66.0,,,,,95.73571423121862,95.9000015258789,95.5,0.0,0.0,0.0,,,,,,,,,,
01:00:00.000-04:00,01:15:00.000-04:00,,,,,,,,,,,,,,68.32142857142857,75.0,66.0,,,,,91.91666603088379,95.4000015258789,89.80000305175781,0.0,0.0,0.0,,,,,,,,,,
01:15:00.000-04:00,01:30:00.000-04:00,,,,,,,,,,,7.099999904632568,,,68.78571428571429,73.0,68.0,,,,,96.45000076293945,97.0,95.9000015258789,0.0,0.0,0.0,,,,0.1203389814344503,0.1203389814344503,0.1203389814344503,10,,,
01:30:00.000-04:00,01:45:00.000-04:00,,,,,,,,,,,,,,64.67857142857143,68.0,63.0,,,,,98.90714263916016,99.4000015258789,97.0999984741211,0.0,0.0,0.0,,,,,,,,,,
01:45:00.000-04:00,02:00:00.000-04:00,,,,,,,,,,,16.399999618530273,,,76.07142857142857,86.0,64.0,,,,,98.66250133514404,98.80000305175781,98.5,0.0,0.0,0.0,,,,0.2779660952293267,0.2779660952293267,0.2779660952293267,23,,,
02:00:00.000-04:00,02:15:00.000-04:00,,,,,,,,,,,11.40000057220459,,,67.39285714285714,75.0,64.0,,,,,96.10357093811034,97.80000305175781,95.5999984741211,0.0,0.0,0.0,,,,0.19322034868143373,0.19322034868143373,0.19322034868143373,16,,,
02:15:00.000-04:00,02:30:00.000-04:00,,,,,,,,,,,4.900000095367432,,,64.5,70.0,62.0,,,,,96.00000076293945,96.4000015258789,95.80000305175781,0.0,0.0,0.0,,,,0.08305084907402427,0.08305084907402427,0.08305084907402427,7,,,
02:30:00.000-04:00,02:45:00.000-04:00,,,,,,,,,,,8.5,,,60.25,66.0,59.0,,,,,93.95714296613421,96.19999694824219,93.19999694824219,0.0,0.0,0.0,,,,0.1440677966101695,0.1440677966101695,0.1440677966101695,12,,,
02:45:00.000-04:00,03:00:00.000-04:00,,,,,,,,,,,,,,60.857142857142854,63.0,59.0,,,,,97.11785752432688,99.0,94.9000015258789,0.0,0.0,0.0,,,,,,,,,,
03:00:00.000-04:00,03:15:00.000-04:00,,,,,,,,,,,2.799999952316284,,,60.107142857142854,66.0,57.0,,,,,98.98214176722935,99.19999694824219,97.69999694824219,0.0,0.0,0.0,,,,0.04745762631044549,0.04745762631044549,0.04745762631044549,4,,,
03:15:00.000-04:00,03:30:00.000-04:00,,,,,,,,,,,,,,60.785714285714285,66.0,58.0,,,,,95.14999989100865,97.0,93.9000015258789,0.0,0.0,0.0,,,,,,,,,,
03:30:00.000-04:00,03:45:00.000-04:00,,,,,,,,,,,,,,61.107142857142854,62.0,60.0,,,,,98.18571499415808,98.5,97.5999984741211,0.0,0.0,0.0,,,,,,,,,,
